№ Тест кейса,Пункт Требований,Описание теста,Предусловия,Шаги,Ожидаемый результат,Фактический результат,Severity,Priority,Примечание
11,TL-A-18 Словарь данных,"Проверка ввода адреса эл. почты с ""-"" в именной части user-tyu@gmail.com",Открыта страница регистрации https://front-test-a2ykv.ondigitalocean.app/registration,"1. Ввести в поле ""Почта"" адрес эл. почты, значение <user-tyu@gmail.com>
2. Заполнить поле ""Логин"", значение <lolik1>
3. Ввести пароль в оба поля ""Пароль"", значение <Qwerty123>
4. Нажать на кнопку ""Зарегистрироваться""
","Появляется сообщение: ""На адрес Вашей электронной почты было отправлено письмо. Для завершения регистрации перейдите по указанной в письме ссылке.""



","Появляется сообщение: ""На адрес Вашей электронной почты было отправлено письмо. Для завершения регистрации перейдите по указанной в письме ссылке.""



",,,
12,TL-A-18 Словарь данных,Проверка ввода адреса эл. почты с цифрами в начале именной части user123@gm.ru 123user@gmail.com,Открыта страница регистрации https://front-test-a2ykv.ondigitalocean.app/registration,"1. Ввести в поле ""Почта"" адрес эл. почты, значение <123user@gmail.com>
2. Заполнить поле ""Логин"", значение <lolik22>
3. Ввести пароль в оба поля ""Пароль"", значение <Qwerty123>
4. Нажать на кнопку ""Зарегистрироваться""","Появляется сообщение: ""На адрес Вашей электронной почты было отправлено письмо. Для завершения регистрации перейдите по указанной в письме ссылке.""



","Появляется сообщение: ""На адрес Вашей электронной почты было отправлено письмо. Для завершения регистрации перейдите по указанной в письме ссылке.""



",,,
13,TL-A-18 Словарь данных,Зарегистрировать нового пользователя с отсутствием @ в email 123usergmail.com,Открыта страница регистрации https://front-test-a2ykv.ondigitalocean.app/registration,"1. Ввести в поле ""Почта"" адрес эл. почты, значение <123usergmail.com>
2. Заполнить поле ""Логин"", значение <lolik3>
4. Ввести пароль в оба поля ""Пароль"", значение <Qwerty123>
5. Нажать на кнопку ""Зарегистрироваться""
","Появляется предупреждающее сообщение ""Вы заполняете поле в неверном формате.""","Появляется предупреждающее сообщение ""Вы заполняете поле в неверном формате.""",,High,
14,TL-A-18 Словарь данных,Использование только ASCII символов в логине (%%%%%%),Открыта страница регистрации https://front-test-a2ykv.ondigitalocean.app/registration,"1. Ввести в поле ""Почта"" значение <%%%%%%>
2. Заполнить поле ""Логин"", значение <lolik4>
3. Ввести пароль в оба поля ""Пароль"", значение <Qwerty123>
4. Нажать на кнопку ""Зарегистрироваться""
","Появляется предупреждающее сообщение ""Вы заполняете поле в неверном формате.""","Появляется предупреждающее сообщение ""Вы заполняете поле в неверном формате.""",,High,
15,TL-A-18 Словарь данных,"Регистрация пользователя с пустым полем ""Логин""",Открыта страница регистрации https://front-test-a2ykv.ondigitalocean.app/registration,"1. Ввести пароль в оба поля ""Пароль"", значение <Qwerty123>
2. Нажать на кнопку ""Зарегистрироваться""
","Появляется предупреждающее сообщение ""это поле обязательно для заполнения""","Появляется предупреждающее сообщение ""это поле обязательно для заполнения""",,High,
16,TL-A-18 Словарь данных,"Регистрация пользователя с пустыми полями ""Пароль""",Открыта страница регистрации https://front-test-a2ykv.ondigitalocean.app/registration,"1. Ввести в поле ""Почта"" адрес эл. почты , значение <user123@gmail.com>
2. Заполнить поле ""Логин"", значение <lolik5>
3. Нажать на кнопку ""Зарегистрироваться""
","Появляется предупреждающее сообщение ""это поле обязательно для заполнения""","Появляется предупреждающее сообщение ""это поле обязательно для заполнения""",,,
17,TL-A-18 Словарь данных,"Регистрация пользователя с паролем, содержащим пробелы или состоящим из одних пробелов.",Открыта страница регистрации https://front-test-a2ykv.ondigitalocean.app/registration,"1. Ввести в поле ""Почта"" адрес эл. почты, значение <123user@gmail.com>
2. Заполнить поле ""Логин"", значение <lolik4>
3. Ввести пароль в оба поля ""Пароль"", значение <        > (одни пробелы)
4. Нажать на кнопку ""Зарегистрироваться""","Появляется предупреждающее сообщение ""Вы заполняете поле в неверном формате.""","Появляется предупреждающее сообщение ""Вы заполняете поле в неверном формате.""",,High,
18,TL-A-18 Словарь данных,Регистрация пользователя с логином содержащим XSS или SQL injections.,Открыта страница регистрации https://front-test-a2ykv.ondigitalocean.app/registration,"1. Ввести в поле ""Почта"" значение, содержащее код для XSS или SQL injections.","Появляется предупреждающее сообщение ""Вы заполняете поле в неверном формате.""",,,High,
21,TL-A-18,Проверка ввода эл.почты содержащей более 256 символов,Открыта страница регистрации https://front-test-a2ykv.ondigitalocean.app/registration,"1. Ввести в поле ""Почта"" адрес эл. почты, значение <erigbslfgjhsdofiugbsildfgsdljbglsigbilserbgleusrsdibglisdhgidsfkbkldbjglkdbfglisdbkfbglllllllbgggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggg@gmail.com>
2. Заполнить поле ""Логин"", значение <lolik5>
3. Ввести пароль в оба поля ""Пароль"", значение <Qwerty123>
4. Нажать на кнопку ""Зарегистрироваться""","Появляется предупреждающее сообщение ""Вы заполняете поле в неверном формате.""","Выходит ошибка: ""registration eror...""",,,баг
22,TL-A-18,Проверка ввода эл.почты содержащей 1 символ в именной части,Открыта страница регистрации https://front-test-a2ykv.ondigitalocean.app/registration,"1. Ввести в поле ""Почта"" адрес эл. почты, значение <a@gmail.com>
2. Заполнить поле ""Логин"", значение <lolik6>
3. Ввести пароль в оба поля ""Пароль"", значение <Qwerty123>
4. Нажать на кнопку ""Зарегистрироваться""
","Появляется сообщение: ""На адрес Вашей электронной почты было отправлено письмо. Для завершения регистрации перейдите по указанной в письме ссылке.""



","Появляется сообщение: ""На адрес Вашей электронной почты было отправлено письмо. Для завершения регистрации перейдите по указанной в письме ссылке.""



",,,
23,TL-A-18,Проверка ввода эл.почты содержащей 1 символ в именной части и доменной части,Открыта страница регистрации https://front-test-a2ykv.ondigitalocean.app/registration,"1. Ввести в поле ""Почта"" адрес эл. почты, значение <a@g.c>
2. Заполнить поле ""Логин"", значение <lolik7>
3. Ввести пароль в оба поля ""Пароль"", значение <Qwerty123>
4. Нажать на кнопку ""Зарегистрироваться""
","Появляется предупреждающее сообщение ""Вы заполняете поле в неверном формате.""","Появляется предупреждающее сообщение ""Вы заполняете поле в неверном формате.""",,,
24,TL-A-18,Проверка ввода эл.почты содержащей буквы верхенго и нижнего регистра,Открыта страница регистрации https://front-test-a2ykv.ondigitalocean.app/registration,"1. Ввести в поле ""Почта"" адрес эл. почты, значение <DmaOk@gmail.com>
2. Заполнить поле ""Логин"", значение <lolik8>
3. Ввести пароль в оба поля ""Пароль"", значение <Qwerty123>
4. Нажать на кнопку ""Зарегистрироваться""
","Появляется сообщение: ""На адрес Вашей электронной почты было отправлено письмо. Для завершения регистрации перейдите по указанной в письме ссылке.""



","Появляется сообщение: ""На адрес Вашей электронной почты было отправлено письмо. Для завершения регистрации перейдите по указанной в письме ссылке.""



",,,
25,TL-A-18,"Проверка ввода пароля, содержащего 7 символов",Открыта страница регистрации https://front-test-a2ykv.ondigitalocean.app/registration,"1. Ввести в поле ""Логин"" адрес эл. почты, значение <user@gmail.com>
2. Заполнить поле ""Логин"", значение <lolik9>
3. Ввести пароль в оба поля ""Пароль"", значение <Qwerty1>
4. Нажать на кнопку ""Зарегистрироваться""
","Появляется предупреждающее сообщение ""Пароль вводится латинскими буквами,должен состоять минимум из восьми символов,должен содержать как минимум одну букву, одну цифру,должен содержать символы верхнего и нижнего регистра.""","Появляется предупреждающее сообщение ""Пароль вводится латинскими буквами,должен состоять минимум из восьми символов,должен содержать как минимум одну букву, одну цифру,должен содержать символы верхнего и нижнего регистра.""",,,
26,TL-A-18,"Проверка ввода пароля, не содержащего заглавного символа",Открыта страница регистрации https://front-test-a2ykv.ondigitalocean.app/registration,"1. Ввести в поле ""Логин"" адрес эл. почты, значение <user@gmail.com>
2. Ввести пароль в оба поля ""Пароль"", значение <qwerty12>
3. Нажать на кнопку ""Зарегистрироваться""
","Появляется предупреждающее сообщение ""Пароль вводится латинскими буквами,должен состоять минимум из восьми символов,должен содержать как минимум одну букву, одну цифру,должен содержать символы верхнего и нижнего регистра.""","Появляется предупреждающее сообщение ""Пароль вводится латинскими буквами,должен состоять минимум из восьми символов,должен содержать как минимум одну букву, одну цифру,должен содержать символы верхнего и нижнего регистра.""",,,
27,TL-A-18,"Проверка ввода пароля, содержащего только буквы",Открыта страница регистрации https://front-test-a2ykv.ondigitalocean.app/registration,"1. Ввести в поле ""Почта"" адрес эл. почты, значение <user@gmail.com>
2. Заполнить поле ""Логин"", значение <lolik10>
3. Ввести пароль в оба поля ""Пароль"", значение <Qwertyui>
4. Нажать на кнопку ""Зарегистрироваться""
","Появляется предупреждающее сообщение ""Пароль вводится латинскими буквами,должен состоять минимум из восьми символов,должен содержать как минимум одну букву, одну цифру,должен содержать символы верхнего и нижнего регистра.""","Появляется предупреждающее сообщение ""Пароль вводится латинскими буквами,должен состоять минимум из восьми символов,должен содержать как минимум одну букву, одну цифру,должен содержать символы верхнего и нижнего регистра.""",,,
28,TL-A-18,"Проверка ввода пароля, содержащего 7 символов",Открыта страница регистрации https://front-test-a2ykv.ondigitalocean.app/registration,"1. Ввести в поле ""Почта"" адрес эл. почты, значение <user@gmail.com>
2. Заполнить поле ""Логин"", значение <lolik11>
3. Ввести пароль в оба поля ""Пароль"", значение <Qwerty1>
4. Нажать на кнопку ""Зарегистрироваться""
","Появляется предупреждающее сообщение ""Пароль вводится латинскими буквами,должен состоять минимум из восьми символов,должен содержать как минимум одну букву, одну цифру,должен содержать символы верхнего и нижнего регистра.""","Появляется предупреждающее сообщение ""Пароль вводится латинскими буквами,должен состоять минимум из восьми символов,должен содержать как минимум одну букву, одну цифру,должен содержать символы верхнего и нижнего регистра.""",,,
29,TL-A-18,"Проверка ввода пароля, содержащего 256 символов",Открыта страница регистрации https://front-test-a2ykv.ondigitalocean.app/registration,"1. Ввести в поле ""Почта"" адрес эл. почты, значение <user@gmail.com>
2. Заполнить поле ""Логин"", значение <lolik12>
3. Ввести пароль в оба поля ""Пароль"", значение <qwqwertyuiopasdfghjklzxcvbnm362626QWERTYXCVBssgsdfhgxfbxcvbserysrtyesr6w3463ertgdg45623t34w634etdfgvxcvbe45we4t345q345q334qwqwertyuiopasdfghjklzxcvbnm362626QWERTYXCVBssgsdfhgxfbxcvbserysrtyesr6w3463ertgdg45623t34w634etdfgvxcvbe45we4t345q345aweteetegdgdq334>
4. Нажать на кнопку ""Зарегистрироваться""
","Появляется сообщение: ""На адрес Вашей электронной почты было отправлено письмо. Для завершения регистрации перейдите по указанной в письме ссылке.""



","Появляется сообщение: ""На адрес Вашей электронной почты было отправлено письмо. Для завершения регистрации перейдите по указанной в письме ссылке.""



",,,
30,TL-A-18,"Проверка ввода пароля, содержащего 257 символов",Открыта страница регистрации https://front-test-a2ykv.ondigitalocean.app/registration,"1. Ввести в поле ""Почта"" адрес эл. почты, значение <user@gmail.com>
2. Заполнить поле ""Логин"", значение <lolik13>
2. Ввести пароль в оба поля ""Пароль"", значение <qwqwertyuiopasdfghjklzxcvbnm362626QWERTYXCVBssgsdfhgxfbxcvbserysrtyesr6w3463ertgdg45623t34w634etdfgvxcvbe45we4t345q345q334qwqwertyuiopasdfghjklzxcvbnm362626QWERTYXCVBssgsdfhgxfbxcvbserysrtyesr6w3463ertgdg45623t34w634etdfgvxcvbe45we4t345q345aweteetegdgdq3341>
3. Нажать на кнопку ""Зарегистрироваться""
","Появляется предупреждающее сообщение ""Пароль вводится латинскими буквами,должен состоять минимум из восьми символов,должен содержать как минимум одну букву, одну цифру,должен содержать символы верхнего и нижнего регистра.""","Происходит регистрация. ""Появляется сообщение: """"На адрес Вашей электронной почты было отправлено письмо. Для завершения регистрации перейдите по указанной в письме ссылке.""""",,,баг
31,TL-A-18,"Проверка ввода пароля, содержащего спец символы",Открыта страница регистрации https://front-test-a2ykv.ondigitalocean.app/registration,"1. Ввести в поле ""Почтв"" адрес эл. почты, значение <user@gmail.com>
2. Заполнить поле ""Логин"", значение <lolik14>
3. Ввести пароль в оба поля ""Пароль"", значение <Qw1~`!@#$%^&*()_+<>?:""{}[];’>
4. Нажать на кнопку ""Зарегистрироваться""
","Появляется предупреждающее сообщение ""Пароль вводится латинскими буквами,должен состоять минимум из восьми символов,должен содержать как минимум одну букву, одну цифру,должен содержать символы верхнего и нижнего регистра.""","Появляется предупреждающее сообщение ""Пароль вводится латинскими буквами,должен состоять минимум из восьми символов,должен содержать как минимум одну букву, одну цифру,должен содержать символы верхнего и нижнего регистра.""",,,
32,TL-A-18,"Проверка ввода пароля, содержащего знаки препинания",Открыта страница регистрации https://front-test-a2ykv.ondigitalocean.app/registration,"1. Ввести в поле ""Почта"" адрес эл. почты, значение <user@gmail.com>
2. Заполнить поле ""Логин"", значение <lolik15>
2. Ввести пароль в оба поля ""Пароль"", значение <Qw123456.>
3. Нажать на кнопку ""Зарегистрироваться""
","Появляется предупреждающее сообщение ""Пароль вводится латинскими буквами,должен состоять минимум из восьми символов,должен содержать как минимум одну букву, одну цифру,должен содержать символы верхнего и нижнего регистра.""","Появляется предупреждающее сообщение ""Пароль вводится латинскими буквами,должен состоять минимум из восьми символов,должен содержать как минимум одну букву, одну цифру,должен содержать символы верхнего и нижнего регистра.""",,,
33,TL-A-19,Регистрация пользователя со специальным адресом эл. почты,Открыта страница регистрации https://front-test-a2ykv.ondigitalocean.app/registration,"1. Ввести в поле ""Почта"" адрес эл. почты, значение <user+1@gmail.com>
2. Заполнить поле ""Логин"", значение <lolik16>
2. Ввести пароль в оба поля ""Пароль"", значение <Qw123456>
3. Нажать на кнопку ""Зарегистрироваться""
","Появляется предупреждающее сообщение ""Вы заполняете поле в неверном формате.""","Появляется предупреждающее сообщение ""Вы заполняете поле в неверном формате.""",,,
34,TL-A-20,Проверка отображения основных элементов страницы регистрации,Открыта страница регистрации https://front-test-a2ykv.ondigitalocean.app/registration,"1. Открыть страницу регистрации.
2. Проверить наличие поля ввода для имени.
3. Проверить наличие поля ввода для электронной почты.
4. Проверить наличие поля ввода для пароля.
5. Проверить наличие поля ввода для подтверждения пароля.1.",Все четыре поля присутствуют и отображаются корректно.,Положительно,,,
35,TL-A-21,Регистрация с использованием кириллических символов,Открыта страница регистрации https://front-test-a2ykv.ondigitalocean.app/registration,"1. Ввести в поле ""Почта"" адрес эл. почты с кириллическими символами, <ольга@мойпочтовыйящик.рф>.
2. Ввести в оба поля ""Пароль"" корректный пароль: <Qwerty12>.
3. Нажать на кнопку ""Зарегистрироваться"".","Появляется ошибка ""Вы заполняете поле в неверном формате""",Положительно,Major,,
,,Проверка подтверждения регистрации путем пехода по ссылке на эл. почте,,,,,,,
